n,text,label
0,Ofício Requisitório - Comunicação - Protocolo Eletrônico - DEPRE,H:Arquivado
1,Suspensão do Prazo Prazo referente ao usuário foi alterado para 15/04/2019 devido à alteração da tabela de feriados,H:Ativo
2,Certidão de Publicação Expedida Relação :0274/2019 Data da Disponibilização: 28/03/2019 Data da Publicação: 29/03/2019 Número do Diário: 2777/2019 Página: 3072/3073,H:Ativo
3,Embargos de Declaração Juntados Nº Protocolo: WFPA.19.70129354-1 Tipo da Petição: Embargos de Declaração Data: 18/03/2019 14:13,H:Ativo
4,Certidão de Trânsito em Julgado com Baixa Expedida Certidão - Trânsito em Julgado com Baixa - Processo Digital,H:Arquivado
5,Certidão de Publicação Expedida Relação :0032/2019 Data da Disponibilização: 21/02/2019 Data da Publicação: 22/02/2019 Número do Diário: Página:,H:Suspenso
6,Certidão de Não Consulta ao Teor da Informação - Contagem de Prazo do Ato - Expedida Certidão de Não Leitura - Contagem de Prazo do Ato,H:Ativo
7,Certidão de Publicação Expedida Relação :0052/2019 Data da Disponibilização: 19/03/2019 Data da Publicação: 20/03/2019 Número do Diário: 2770 Página: 1237/1249,H:Ativo
8,Certidão de Publicação Expedida Relação :0006/2015 Data da Disponibilização: 12/01/2015 Data da Publicação: 19/01/2015 Número do Diário: 1803 Página: 83/85,H:Ativo
9,"Arquivado Definitivamente 794, I, do CPC",H:Arquivado
10,Conclusos para Despacho,H:Ativo
11,Certidão de Cartório Expedida Certidão - Genérica,H:Arquivado
12,Certidão de Cartório Expedida Certidão - Genérica,H:Arquivado
13,Arquivado Definitivamente PACOTE: 4240/2018,H:Arquivado
14,Arquivado Definitivamente PACOTE 8264/2018 ( VOL. UNICO ),H:Arquivado
15,Guia Juntada,H:Arquivado
16,Sentença Registrada,H:Arquivado
17,Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoSituação:Em fase de encaminhamento ao arquivo,H:Arquivado
18,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
19,"Arquivado Definitivamente RETORNOU AO ARQUIVO, MAÇO: 4118/2016.",H:Arquivado
20,Petição Juntada Nº Protocolo: WSRQ.18.70014319-7 Tipo da Petição: Petições Diversas Data: 23/10/2018 10:18,H:Arquivado
21,Tipo do Movimento:Publicado  Atos da Serventia Folhas do DJERJ.:934/955,H:Arquivado
22,"Mandado Devolvido Cumprido Positivo CERTIDÃO Processo Físico n°:0002004-03.2006.8.26.0486 Classe - Assunto:Execução Fiscal - IPTU/ Imposto Predial e Territorial Urbano Requerente:Municipio de Quatá Requerido:Elisangela Maria dos Santos Sales Situação do MandadoCumprido - Ato positivo Oficial de JustiçaLuciano Vanzella Gomes (31220) CERTIDÃO - MANDADO CUMPRIDO POSITIVO CERTIFICO eu, Oficial de Justiça, que em cumprimento ao mandado nº 486.2014/003370-4, diligenciei ao endereço indicado, e procedi a CITAÇÃO do MUNICÍPIO DE QUATÁ, na pessoa de seu representante legal, a Prefeita Municipal, a Sra. LUCIANA GUIMARÃES ALVES CASACA, a qual após ouvir a leitura do r. mandado, ficou bem ciente de todo o teor, aceitou a contrafé que lhe ofereci e exarou a sua assinatura no verso do r. mandado. O referido é verdade e dou fé. Quata, 05 de dezembro de 2014. Número de Atos: 01 - GUIA 1654 - VALOR 60,24.",H:Suspenso
23,Certidão de Não Consulta ao Teor da Informação - Contagem de Prazo do Ato - Expedida Certidão de Não Leitura - Contagem de Prazo do Ato,H:Ativo
24,Petição Juntada Nº Protocolo: WFPA.19.70133870-7 Tipo da Petição: Petições Diversas Data: 19/03/2019 17:26,H:Ativo
25,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
26,Certidão de Publicação Expedida Relação :0302/2017 Data da Disponibilização: 30/08/2017 Data da Publicação: 31/08/2017 Número do Diário: 2421 Página: 1079/1083,H:Ativo
27,Tipo do Movimento:Publicado  Atos da Serventia Folhas do DJERJ.:518/521,H:Arquivado
28,Certidão de Publicação Expedida Relação :0189/2018 Data da Disponibilização: 15/08/2018 Data da Publicação: 16/08/2018 Número do Diário: 2638 Página: 1247/1255,H:Ativo
29,Decurso de Prazo Processo Digital - Certidão - Decurso de Prazo,H:Arquivado
30,"Remetido ao DJE Relação: 0100/2019 Teor do ato: Diante da manifestação de fls. 97, foi realizada a consulta para a localização do RG do herdeiro Gustavo, que restou infrutífera (fls. 99). Manifeste-se a inventariante em termos de prosseguimento do feito, inclusive com relação a decisão de fls. 87, item 2. Decorridos em branco, arquivem-se os autos. Advogados(s): Paulo Sansoni (OAB 56229/SP), Fazenda do Estado de S. Paulo (OAB 11111/SP)",H:Ativo
31,Arquivado Provisoriamente - Execução Frustrada pacote 8865/2015,H:Suspenso
32,Certidão de Trânsito em Julgado com Baixa Expedida Certidão - Trânsito em Julgado com Baixa - Processo Digital,H:Arquivado
33,Contrarrazões Juntada Nº Protocolo: WFPA.16.70077845-0 Tipo da Petição: Contrarrazões de Apelação Data: 06/04/2016 19:00,H:Ativo
34,Certidão de Publicação Expedida Relação :0017/2019 Data da Disponibilização: 28/02/2019 Data da Publicação: 01/03/2019 Número do Diário: 2759 Página: 2726/2728,H:Ativo
35,Trânsito em Julgado às partes - com Baixa,H:Arquivado
36,Certidão de Publicação Expedida Relação :0100/2019 Data da Disponibilização: 22/03/2019 Data da Publicação: 25/03/2019 Número do Diário: 2773 Página: 1220/1223,H:Suspenso
37,Arquivado Definitivamente,H:Arquivado
38,Arquivado Definitivamente,H:Arquivado
39,"Certidão de Trânsito em Julgado com Baixa Expedida-Art. 485, I, IV, VI e IX do CPC. Certifico e dou fé que a r. sentença de fls. 114/116 transitou em julgado em 17 de agosto de 2018. Certifico ainda que o processo foi baixado definitivamente no sistema.",H:Arquivado
40,Arquivado Definitivamente,H:Arquivado
41,Extinta A Execução/Cumprimento Da Sentença Pela Satisfação Da Obrigação,H:Arquivado
42,Arquivado Provisoriamente,H:Suspenso
43,Recebidos os Autos do Ministério Público Tipo de local de destino: Cartório Especificação do local de destino: Cartório da Vara Única,H:Ativo
44,Baixa Definitiva ag. arquivo geral,H:Arquivado
45,Conclusos para Despacho,H:Ativo
46,Suspensão do Prazo Prazo referente ao usuário foi alterado para 26/02/2019 devido à alteração da tabela de feriados,H:Suspenso
47,Certidão de Publicação Expedida Relação :0079/2019 Data da Disponibilização: 18/03/2019 Data da Publicação: 19/03/2019 Número do Diário: 2769 Página:,H:Ativo
48,Disponibilização no Diário da Justiça Eletrônico,H:Ativo
49,Certidão de Publicação Expedida Relação :0050/2019 Data da Disponibilização: 28/03/2019 Data da Publicação: 29/03/2019 Número do Diário: 2777 Página: 1779,H:Ativo
50,Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados (caixa 8561/2014),H:Arquivado
51,Petição Juntada Nº Protocolo: WPOA.16.80016178-0 Tipo da Petição: Pedido de Extinção do Processo Data: 26/09/2016 19:45,H:Ativo
52,Arquivado Definitivamente,H:Arquivado
53,Certidão de Publicação Expedida Relação :0190/2019 Data da Disponibilização: 28/03/2019 Data da Publicação: 29/03/2019 Número do Diário: 2777 Página: 1571/1576,H:Ativo
54,Tipo do Movimento:Publicado  Decisão Folhas do DJERJ.:644/664,H:Arquivado
55,Tipo do Movimento:Juntada - Petição Descrição da juntada:Documento eletrônico juntado de forma automática.,H:Ativo
56,Petição Juntada Juntada a petição diversa - Tipo: Petições Diversas em Procedimento Comum - Número: 80000 - Protocolo: FIPI18000039931,H:Suspenso
57,Arquivado Definitivamente,H:Arquivado
58,Arquivado Definitivamente,H:Arquivado
59,Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoMaço:9000Maço recebido pelo arquivo em:11/12/2017Local de arquivamento:Arquivo Geral - Rio de Janeiro,H:Arquivado
60,Disponibilizado no DJE P. 11,H:Suspenso
61,Arquivado Definitivamente,H:Arquivado
